,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Nab1,0.059158523,0.23012635,0.22878939,0.12908056,0.0782458,0.068749055,0.061727665,0.186813,0.186813,0.22534032,0.186813,0.186813,0.186813,0.15759337,0.15759337,0.03453569,0.03453569,0.06781219,0.06781219,0.06781219,0.07526066,0.041984163,0.041984163,0.0,0.0,0.0,0.06593925,0.070511125,0.0,0.18288824,0.36446765,0.087473944,0.0,0.0,0.0,0.08982252,0.165844,0.0,0.175055
Mfsd6,0.12903464,0.06327226,0.10699818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036828138,0.07813333,0.07813333,0.19401494,0.11588162,0.11588162,0.0,0.0,0.0,0.08141761,0.16159424,0.0,0.0,0.0,0.071277104,0.0,0.0,0.0,0.06256893,0.11634725,0.07929881
Inpp1,0.055996686,0.047710158,0.035885856,0.035885856,0.03250804,0.15437305,0.03250804,0.041097805,0.041097805,0.076719254,0.035621446,0.035621446,0.035621446,0.035621446,0.039779905,0.039779905,0.039779905,0.039779905,0.036828138,0.036828138,0.13252941,0.13252941,0.09570128,0.057338715,0.11723194,0.056969743,0.11653499,0.0727522,0.0,0.0,0.09502888,0.13842805,0.0,0.36688468,0.32345942,0.13822289,0.2373249,0.32212502,0.6416201
Pms1,0.0,0.050132643,0.0,0.12123346,0.16436124,0.04312778,0.04312778,0.04312778,0.0,0.0,0.0,0.0,0.05778079,0.05778079,0.0975607,0.10907283,0.10907283,0.109072834,0.069292925,0.030535748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208567,0.06836368,0.0,0.0,0.0,0.07450258,0.17128389,0.096781306,0.14447653,0.0,0.0,0.0
Asnsd1,0.21274394,0.19603631,0.045837563,0.23677921,0.31083602,0.23994732,0.10888231,0.055349555,0.055349555,0.090971,0.16302845,0.23674123,0.29452202,0.294522,0.389947,0.37797093,0.2322007,0.26547718,0.13443075,0.06781219,0.0332765,0.0,0.16266045,0.16266045,0.21162266,0.23217064,0.2878238,0.21551731,0.25463563,0.3168957,0.11052835,0.069608375,0.29135424,0.24309498,0.17457668,0.15686114,0.15084583,0.0,0.07795199
Stk17b,0.29206052,0.35420206,0.34811598,0.13998944,0.11967147,0.077110395,0.13398722,0.09837927,0.14221452,0.1418687,0.16821036,0.16821037,0.1821559,0.1821559,0.12983824,0.14350554,0.113570794,0.19170758,0.22853571,0.22956572,0.2810413,0.2029045,0.17191207,0.26373324,0.23290576,0.25112492,0.21327384,0.3148276,0.33835608,0.19995674,0.15419129,0.45230955,0.0,0.25309289,0.15744519,0.30807537,0.256216,0.510644,0.42530715
Gtf3c3,0.0,0.043846663,0.08945124,0.17678185,0.16666448,0.07043347,0.07043347,0.0,0.04383525,0.04383525,0.096568875,0.096568875,0.052733626,0.052733626,0.1622105,0.10947688,0.10947688,0.14275338,0.0332765,0.07078276,0.07078276,0.03750626,0.0,0.09816043,0.2729687,0.056969743,0.12574545,0.07569121,0.20789693,0.0,0.14804024,0.21859318,0.085889086,0.16008037,0.15198666,0.07118427,0.0,0.0,0.0
Ankrd44,0.050728023,0.0,0.122875206,0.08828639,0.15561727,0.18522392,0.14372148,0.10784425,0.1516795,0.17446685,0.22678453,0.18944232,0.20338786,0.20338786,0.16981854,0.08058141,0.08058141,0.08058141,0.0,0.12075382,0.19670592,0.19670591,0.075952105,0.0,0.12670062,0.0,0.063957445,0.0,0.08017663,0.10617393,0.20120281,0.10993145,0.18370743,0.11134877,0.20146483,0.106814764,0.31240714,0.15720773,0.16294962
Sf3b1,1.5796584,1.3844494,1.6488847,1.5654315,1.2914531,1.2859452,1.2748821,1.44781,1.4857441,1.4493046,1.4189888,1.4441148,1.3696193,1.3420236,1.4311078,1.3458086,1.1316173,1.1787759,1.2458106,1.2381951,1.2879987,1.4165815,1.3291094,1.4828521,1.6088862,1.5058635,1.322117,1.7455053,1.8174217,1.68364,1.5117383,1.2623011,1.5407609,1.3944594,1.2808845,1.3507732,1.5302885,1.5595479,1.2170874
Hspd1,1.009818,1.3008673,1.6435401,1.6861241,1.9202539,1.818189,2.0362997,1.9982321,1.9803716,1.950033,1.952971,1.9481813,1.9715544,1.9704771,1.9320352,1.7983233,1.7695458,1.706992,1.7418771,1.8229574,1.698588,1.7865275,1.4907676,1.4817085,1.328966,1.4479613,1.7071413,1.5875553,0.9594065,1.1490139,0.9757498,0.39174712,0.8204033,1.2427994,1.4371794,1.1444845,0.9618986,0.9327162,1.1404841
Rftn2,0.055996686,0.0,0.0,0.042757694,0.042757694,0.0,0.038873147,0.038873147,0.038873147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049686547,0.049686547,0.0,0.0,0.211879,0.16844709,0.073418215,0.0,0.0691805,0.0,0.0,0.0,0.08982252,0.0,0.15720773,0.08365081
Tyw5,0.15612274,0.13930249,0.13706583,0.04850472,0.06705499,0.06705499,0.06705499,0.10017928,0.10017928,0.03312429,0.08544196,0.08544196,0.08544196,0.08544196,0.1137057,0.1151171,0.1151171,0.1151171,0.03453569,0.03453569,0.11898291,0.11898291,0.11898291,0.057338715,0.0,0.24793494,0.23158586,0.0,0.13482913,0.20345087,0.0,0.0,0.07885977,0.14929222,0.07043245,0.07118427,0.073109746,0.14666666,0.0
